펫티켓 포스터,"첨부파일
펫티켓01
.jpg
null
파일 다운로드
필요하신분 쓰세요","허수아비2
2023.01.05. 12:30"
펫티켓 안내문,,[0]
강아지를 너무 사랑하면,"강아지를 너무 사랑해서 미쳐요ㅎㅎ
어딜가든 두부 생각뿐이고 제 거 사는거는 아까운데 
두부꺼 사주는건 하나도 안 아까워요ㅋㅋㅋ 
집에도 온통 두부 물건이고 ㅎㅎ  
제가 두부한테 하는거 보면 다들 두부 복 받았다고 
하는데 제가 복 받은거 같아요  
원래도 강아지를 좋아하긴 했는데 두부 키우고 나서부터 모든 강아지들이 사랑스럽게 보이고 길 가다 산책하는 
강쥐들 보면 귀여워서 미치겠어요 🤤
시간 되면  남친이랑 유기견 봉사도 하기로 했어요
두부 키우고 나서 부터 제 삶이 더 행복해졌어요 
책임감도 생기고 나중에 결혼해서 애기 낳으면 두부랑 
하는 애개육아도 기대돼고 제 미래에 두부가 항상 같이 있다는게 너무 좋고 행복해요 저 때문에 괜히 두부 욕 
안 먹게 교육도 열심히 하고 있고 펫티켓도 아주 중요하게 지키고있네요ㅎㅎ 저희 엄마도 저만큼 두부를 좋아하셔서 뭔가(?)제 편이 생긴거 같고 좋아요 ㅠㅠ제가 하는 행동들이 유난이라는 사람도 많아서 제가 이렇게 두부를 사랑하는게 문제인가 싶어서 글 써봤네요 ","밍키야ㅎ
좋은 견주분이시네요
저희 밍키 내년에 10살되는데
지나고 보니 1년같네요...
2022.07.27. 16:28"
아주동 델라하이 2층 대형카페입니다!,"안녕하세요 델라하이입니다 :)
오픈은 작년에 했으나, 게시물은 처음 올려보네요!
저희 델라하이 카페는 거제도에서 보기 드문
초 대형 카페이며, 도심 속 마운틴뷰입니다!
실내만 180평이고 실외는 아이들이 뛰어놀기 좋으며
반려견과도 함께 할 수 있는 공간이 있습니다.
(반려견은 펫티켓 필수!!! ෆ˙ᵕ˙ෆ 실외 가능
실내 2층은 13세 이하 노키즈존이고
실내 1층은 아이들은 위한 공간이 마련되어있습니다.)
1층, 2층 모두 편안한 좌석과 테이블이 있고
사장님께서 직접 관리하시는 식물까지 있어요!
단체석과 공부를 할 수 있는 전용 테이블도 있어
회의 등 모임을 하시는 분들에겐 아주 적합한 공간입니다.
055-681-7717로 예약 문의하시면
친절하게 응대해 드릴게요 :-)
플리마켓, 음악회 등 장소 무료대관도
진행하고 있으니 문의 전화 편하게 주시고
많이 놀러와 주세요!
안녕하세요 델라하이입니다 :) 오픈은 작년에 했으나, 게시물은 처음 올려
재생 수
60
00:00 | 01:25
화질 선택 옵션
자동

안녕하세요 델라하이입니다 :) 오픈은 작년에 했으나, 게시물은 처음 올려","인싸
지금 오픈한건가요???
가보고 싶네요.
저녁 몇시까지 하나요?
2022.07.27. 19:31"
2022년 달라지는 반려견 펫티켓,,[0]
라이즈호텔 에디터룸 애견동반 투숙 후기,"친구랑 친구네 강아지랑 같이 호캉스 다녀왔던 후기 씁니다^^
서울 마포구에 있는 라이즈 호텔 방문하였고
친구랑 저, 친구 강아지 이렇게 셋이서 에디터룸 예약했었어요
가격은 여름이라 40 정도? 했던 걸로 기억합니다. 지금 가격은 또 달라졌겠네요
친구 오기 전에 미리 시간 맞춰 체크인을 해두고 로비 구경하다가 객실로 올라갔습니다. 
객실로 올라가봅니다. 두근두근
드디어 객실 입성!
생각만큼 객실 상태는 너무 좋았던 걸로 기억해요
게다가 친구 강아지는 중형? 대형견 정도 되는데 여길 강아지들이랑 올 수 있다고? 하면서 놀랐었어요. 역시 서울,,
저도 강아지를 키우지만 지방에서 올라갔었기 때문에 혼자 데리고 오기 힘들 거 같아서 집에 두고 왔는데 방에 들어오자 마자 조금 후회했어요.. 여름이기도 하고 강아지가 힘들 거 같아서 어쩔 수 없긴 했지만 다음에는 같이 와야겠다 생각하면서 쓰는 중입니다. ㅎㅎ
이런 느낌 너무 좋았습니다 ! 그리고 여긴 견종제한 없이 대형견도 가능하다고,,!
그래서 제 주변에 큰 강아지 키우는 친구들한테도 말해줬어요. 대형견 키우는 사람들은 안 받아준다고 서운해하더라구요ㅠㅠ 
욕실 사진도 제가 너무 좋아하는 스타일이라 대만족 했어요!
혹시 라이즈 다른 객실 가보신 분들 평은 어떨지 궁금하네욥 댓글 달아주세요!
깔끔하고 나무랄데 없었던 욕실입니다.
친구 오기 전에 혼자 이곳저곳 돌아다녀 봤는데요 이곳도 애견동반 가능하고 낮에는 너무 더워서 못 있었지만 저녁에 같이 다녀왔어요. 지금 날씨면 딱 오후에 앉아있기 좋을 거 같은데 한 번 더 가고 싶어지네요ㅠㅠ
너무 청량했던 여름 하늘!
후기는 여기까지입니다! 
총평은 시설 너무 좋았고 친절해서 그냥 대만족이었습니다.
★★★★
사실 쓰면서 강아지 사진도 못 넣었는데 애견동반 정보를 써도 되나 싶었지만 저도 강아지 키우는 사람으로서 직접 가본 곳의 다양한 정보를 알려주는 게 맞는 거 같아서 쓰게 되었습니당.(일단 혼자 돌아다니면서 찍었기 때문에 친구 강아지랑 찍을 수 없었죠..) 최근에 저희 가족이랑 강아지도 같이 부산송도호텔 프리미어 객실 다녀왔었는데 거기 예약했던 어플에 라이즈호텔이 생겼길래 부산송도호텔 쓰기 전에 생각나서 라이즈 먼저 써봅니다! ㅋㅋㅋㅋㅋ 요즘 어딜 놀러가도 가족들이랑 여행온 강쥐 친구들이 많아져서 저도 반려인이지만 신기하더라구요. 호텔 로비에서 강아지 친구 만날 때가 제일 기쁜 사람입니닷 ㅎㅎ.. 개인적으로 많은 사람들이 펫티켓을 잘 지켜서 가족같은 우리 애기들도 같이 갈 수 있는 곳이 많이 늘었으면 좋겠어요","뽀보
강아지 사진이 없어요 ㅠㅠㅠㅠㅠㅠ
2022.11.14. 22:27"
"""대형마트 반려견 출입 안돼 불편"" vs ""고객 안전·위생 위해 제한해야""","""대형마트 반려견 출입 안돼 불편"" vs ""고객 안전·위생 위해 제한해야""
출처 : 뉴시스 | 네이버
 - https://naver.me/IIf4OBUH
""대형마트 반려견 출입 안돼 불편"" vs ""고객 안전·위생 위해 제한해야""
""저 마트는 반려견 데려와도 된다고 하는데 여기는 왜 안 돼요?"" 경기도 부천에 사는 신채영(24)씨는 최근 반려견을 데리고 동네의 한 대형마트를 찾았으나 출입을 거부당했다. 마트 측은 반려견을 이동 가방 등에 태워
naver.me
저도  일을 하면서 혼자 있는 또또가 늘 안쓰러워요~~
마트라도 갈려면 따라 가겠다고  안기는 모습에  같이 데리고 싶은 맘이 간절하죠~~
그러나 반려견출입이 제한된 곳이 많아서
가능한 곳을 찾아 다니게 되요^^
다행히 집근처 롯데마트에 견모차를 태우면 출입이 가능하답니다.
대신 펫티켓을 잘 지켜서 다른 일반고객분들께
피해가 가지 않도록 노력한답니다.","크림할매
어디든 데려갈수 있는날이 올까요~전 못데리고
가는곳이면 애들차에두고가요 같이가겠다고
날리날리라 여름엔 에어컨 겨울엔 히타를 틀며~
2022.12.19. 11:42"
"평택시, ‘여름철 성숙한 반려동물 문화조성 위한 캠페인’ 가져","경기 평택시는 사회적 거리두기 완화와 여름철에 여행이 증가함에 따라 반려동물 유기방지, 동물학대 금지 등 성숙한 반려동물 문화조성을 위한 ‘여름철 성숙한 반려동물 문화조성을 위한 캠페인’을 19일부터 24일까지(4일간) 실시한다고 밝혔다.
집중 홍보기간 중 동물학대 시 처벌 규정을 담은 내용과 반려견 동반 외출 시 펫티켓 준수 내용을 담은 현수막을 게시하고 안내문 배부와 SNS 활용 홍보활동을 펼친다.
이와 관련하여 19일 평택시와 동물보호명예감시원 등이 참여하여 민·관 합동으로 소사벌 배다리 공원 일원에서 홍보활동을 실시했다.
캠페인의 주요 내용은 △동물 학대 및 유기 금지 △반려견과 동반 외출 시 펫티켓 준수 △동물등록제 자진신고 기간 운영 안내 △유기·학대 시 처벌을 강화하는 관련 법령 홍보 등이다.
시 축산과 관계자는 “반려동물 펫티켓을 잘 준수해 사람과 동물이 함께 즐거운 사회가 되길 바란다”며 “앞으로 다양한 동물보호 캠페인과 반려동물을 위한 행사를 추진해 올바른 펫티켓 반려문화 조성으로 반려인·반려동물·비반려인 모두가 함께 행복한 도시가 되도록 최선을 다하겠다”고 말했다.
출처 : 뉴스타운(http://www.newstown.co.kr)","케이펫 마마 하이큐브
2022.08.22. 11:31"
0506 북한강산책로 펫티켓 문화조성과환경정화활동 참가자 모집(청소년 봉사시간 부여),"북한강산책로 
펫티켓 문화조성과
환경정화활동 참가자를 모집합니다.
일시 : 5월 14일 토요일, 9시~ 11시
대상 : 청소년, 주민자치위원, 주민 누구나 참여가능
집합장소 : 무너미나루터 정자
접수 및 문의 : 031-771-0763
* 청소년 참여자는 1365 자원봉사 시간을 부여합니다.
** 청소년 참여자는 연중 3회에 한하여 자원봉사 시간을 부여합니다.
*** 계절에 따라 활동시간이 상이하므로 반드시 확인하시길 바랍니다.
****서종중학교 재학생 학부모회나 학부모 커뮤니티에 공유해 주세요~",[0]
모두가 행복한 여름휴가,"농림축산식품부는 여름 휴가철 반려동물 유실·유기 방지, 휴가지 펫티켓 지키기 등 책임있는 반려문화 조성을 위한 민·관 합동 홍보 캠페인을 7월 23일부터 8월 28일까지 실시한다.
  이번 캠페인은 사회적 거리두기 완화와 여름 휴가철로 여행이 증가함에 따라 여행 기간 반려동물을 맡길 수 있는 전국 약 4,700여 개 위탁관리업소(펫호텔 등) 이용 안내, 휴가지에서 펫티켓 지키기와 동물학대 시 처벌강화 홍보 등의 내용으로 추진된다.
  ▲ 월별 유실·유기동물 발생 분포(최근 3년)
   지자체·동물보호단체 및 동물보호 명예감시원 등 민·관 합동으로 추진하고, 동물 학대 및 유기 방지를 위해 「동물보호법」 위반 행위에 대한 지도·단속도 실시한다. 이번 홍보 캠페인은 주로 아파트 밀집지역 등 반려인 주거지역과 휴가 인파가 몰리는 휴가지·피서지를 중심으로 실시하며 주요 내용은 다음과 같다.
  참고로 반려동물 위탁관리 장소는 동물사랑배움터(apms.epis.or.kr) 누리집 ‘내주변 반려생활 정보’ 메뉴에서 ‘위탁관리업’으로 조회할 수 있다.
  농식품부 김지현 동물복지정책과장은 “여름 휴가철 여행 시 반려동물과 함께할 수 없는 경우에는 펫호텔 등 위탁시설에 맡기고, 반려동물과 동반하는 휴가지에서는 펫티켓을 잘 준수하여 사람과 동물이 모두 행복한 여름휴가를 보낼 수 있도록 당부드린다.”라고 밝혔다.
고랑이랑 인천이랑! 
대표전화 : 0507-1386-0158
인천도시농업전문가회 카페
https://cafe.naver.com/farmintown","서구 유영내
고랑이랑 인천이랑
2022.07.31. 04:29"
빗질후 저녁산책,"마침 딱맞게 포인트가 있어서 펫핑 산책 포인트로 구매한 울애기 슬리커 ㅋㅋ 엄마 이거 먹는거에요? 응 아니야 ㅋㅋ
마침 딱맞게 포인트가 있어서 펫핑 산책 포인트로 구매한 울애기 슬리커 ㅋ (1)
재생 수
20
00:00 | 00:43
화질 선택 옵션
자동

마침 딱맞게 포인트가 있어서 펫핑 산책 포인트로 구매한 울애기 슬리커 ㅋ (1)
빗질을 하건 말건 나는 잔다개 ㅋㅋ 빗이 새거라서 겉부터 살살 풀면서 빗음 소리만 요란하지 절대 쎄개 빗은거 아님 오지랖 금지 ㅋㅋㅋㅋ
출발 아침에 안싼 똥싸는중ㅋㅋ
폭풍빗질후 아빠 오기전 동네 한바퀴
남의 리드줄 낚아 채더니
마침 딱맞게 포인트가 있어서 펫핑 산책 포인트로 구매한 울애기 슬리커 ㅋ (2)
재생 수
10
00:00 | 00:10
화질 선택 옵션
자동

마침 딱맞게 포인트가 있어서 펫핑 산책 포인트로 구매한 울애기 슬리커 ㅋ (2)
나빼고 뛰는 두 모지리들ㅋㅋㅋㅋ
똥 매달고 동네 마트 에서 장보는 아빠 앞에서 기다리기 나는 펫티켓을 지키는 강아지라개ㅋㅋ
오늘도 1일 2산책끝 덥다개 ㅋㅋ","초코몽파파
아니 빗질을 저렇게 하는데도
신경도 안 쓰고 가만 누워 있네요 ㅎㅎㅎ
2022.08.28. 09:18"
다들 이럴 땐 어떻게 대처하시나요? (산책 시비싸움),"11kg 미니진도 아이를 키우는데
무서워하는 분도 종종 계셔서
무조건 줄 짧게 잡고 산책 시켜요
제 다리 바로 옆에 붙여서 우측 벽으로 걷습니다
근데 오늘 산책하고 있는데
어떤 아줌마가 멀리서부터 호들갑 오바육갑을 떨면서 남의 집 대문에 올라가더니
개 줄 짧게 잡으라고 뭐라 하시더라구요
호들갑 심한 아줌마들 특유의 말투로 꺄꺄 소리 지르면서..^^
물론 요즘 개물림 사고 이슈도 있고
무서워 하는 마음 충분히 이해하지만
정말 신경써서 펫티켓 지키며 산책하고 있고
넓은 길이라 충분히 지나가도 되는데
굳이 그런식으로 저를 이상한 사람 만드니까
화가 나더라구요..
그래서 전 이미 줄 짧게 잡고 있고 그냥 지나가셔도 되세요
했더니 화를 내셔서
저도 똑같이 제가 줄 풀고 산책 하는 것도 아니고 그렇게 개가 무서우면 길 돌아다니지 마시라고
말하고 지나왔네요,, 이러면 안 되는데 너무 욱해서 ㅠㅠ
다들 이럴 땐 어떻게 대처하시나요?
개 데리고 나가면 죄인, 가해자가 되는 것 같아
참 마음이 안 좋네요","잡미녀
너무 속상하시겠어요ㅠ
2022.07.15. 19:24"
5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~,"5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (1)
재생 수
1
00:00 | 01:28
화질 선택 옵션
자동

5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (1)
깜시는 10년째 실외배변을 하는 아이입니다...
그래서 산책이 일상인 녀석이네요
깜시 저녁 실외배변입니다..
깜시를 개모차에 태우고 지금 주차장을 빠져 나가고 있습니다...
그런데 우리 담벼락에 진돗개 한마리가 있네요
그래서 다시 깜시를 데리고 주차장으로 들어왔습니다..
깜시는 지금 짖고 난리가 났습니다 ㅠ
저는 진돗개 리드줄을 보고 너무 놀랬습니다...
진돗개 리드줄이 얇은 전선으로 되어 있습니다..
전선이 무슨 힘이 있겠습니까?
대형견이면 대형견에 맞는 굵은 리드줄을 사용을 해야 하는데....
진돗개가 주차장 입구에서 떠나질 않네요
아마도 깜시 오줌 냄새를 맡은것 같네요
깜시가 주차장 입구에 오줌을 잘 싸기 때문에...
그런데 진돗개가 우리 남편 차 앞에서 떵을 싸고 있네요
뭐~~ 산책하다 보면 그럴수도 있지요
문제는 진돗개 견주가 떵을 치울 생각을 하지 않고 긴 한숨을 내쉬고 있다는것 ㅠ
헐~~지금 진돗개 견주는 배변봉투가 없습니다...
강아지 산책시 배변봉투는 반려인들이 지켜야할 펫티켓의 기본중에 기본인데...
그래서 저가 배변 가방에서 봉투를 꺼내서 진돗개 견주한테 던져 줬습니다...
진돗개 견주가 떵을 치우고나서 바로 바람과 함께 사라져 버리네요
반려인들이 기본적인 펫티켓만 잘 지켜줘도 반려인들과 비반려인들의 갈등이 줄어들거라고
생각합니다.....
부디 진돗개 견주가 오늘일을 교훈 삼아 앞으로는 펫티켓을 지키는 반려인이 됐으면
좋겠다는 생각이 들었습니다....
5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (2)
재생 수
1
00:00 | 01:33
화질 선택 옵션
자동

5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (2)
깜시를 데리고 개천에 가는길인데 길가에 사람들이 많네요
개천에 입성을 했는데 개천에도 사람들이 많습니다..
그런데 어제부터 느낀점은 사람은 많은데 전반적으로 조용하다는거....
일단 어린아이들이 보이지 않았고 학생들도 보이지 않았습니다..
주로 30~40대분들이 대부분이셨네요
아마도 코로나의 영향인것 같습니다...
오늘은 자전거를 타고 가시는 여성분이 많습니다....
깜시가 얼마 안가서 퀘변을 하는데 하필 개미떼가 있는곳에서 배변을 하네요 ㅠ
지금 개미떼가 곤충 시체에 달라붙어서 식사를 하고 있는데 .ㅠ
이놈의 자식을 ...ㅠ
급히 배변 가방에서 배변 봉투를 들어서 깜시똥을 치우려고 하는데 이미 개미떼들이
깜시 떵 냄새를 맡고 돌격!!! 앞으로는 외치고 있습니다..
결국 저는 깜시떵과 개미들과 함께 배변 봉투에 담아버렸네요ㅠ
깜시야~~ 앞으로는 똥살때 장소를 가려서 싸자 ㅠ
5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (3)
재생 수
1
00:00 | 02:21
화질 선택 옵션
자동

5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (3)
깜시 산책을 마치고 바로 길냥이들 밥을 가지고 나왔습니다..
마당에는 무명이와 아깽이가 있네요
지금 튼튼이는 윗집에서 보살핌을 받고 있습니다...
식당에 밥을 두었는데 밥은 먹지 않고 두넘이 애정행각을 벌이고 있네요
이 두넘이 만난지 2년차 들어갑니다...
지난 봄에 시청에 중성화 수술 신청을 했는데 아직 연락이 오지 않고 있습니다..
요양 보호사님이 그러시는데 시간이 많이 걸린다고 하네요
저가 손으로 잡을수만 있다면 중성화 수술을 해주는데 손에 잡히지 않습니다...
오늘 비 소식이 있었는데 다행이 아직까지 비는 오지 않고 있네요
얘들아~~ 밥 먹고 놀아라~~
5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (4)
재생 수
3
00:00 | 00:46
화질 선택 옵션
자동

5콩저금하고 자러 갑니다 -돌격!!! 앞으로~~ (4)
오늘 저의집 저녁 메뉴는 고소한 청국장 찌개였습니다...
신김치  썰어넣고 두부 송송 썰어넣고 보글보글 끓여서 온 가족이 맛있게 먹었네요 ㅎ
5콩저금 하고 자러 갑니다...
저가 저금하는 콩들이 어려운 이웃들에게 쓰여졌으면 좋겠습니다...
1콩은 100원의 가치를 가지고 있습니다...
여러분이 힘을 보태주시면 1콩..1콩이 모여서 언제가는 기적을 만들수가 있습니다..
배고픈 아이들에게 사료가 급여가 되고 아픈 아이들이 마음껏 병원에 갈수도 있습니다..
지금 비구협이 병원비가 밀려서 병원 치료가 중단이 된 상태입니다..
아픈 아이들이 병원에 갈수 없다면 위험에 빠질수도 있습니다..
이럴때일수록 회원님들의 도움이 간절합니다...
시간 많이 걸리지 않습니다..
홍코맘님이 매일같이 올리시는 글들을 클릭만 하시면 됩니다...
부디 외면하지 말아 주세요
부탁 드립니다....
회원님들....
굿밤들 되세용^^*","구조코디진구누나1
깜시야, 개미에게도 사정이 있단다ㅋㅋ
2022.08.23. 05:24"
강아지 키우시는분들 고민좀 들어주세요 ㅜㅜ,"강아지마다 정해진 지능이 있다고 생각하시나요?
시고르잡종 똥개들이 똑똑하다고 하던데....
저희집 강아지가 아무리 가르쳐도 앉아를 못해요...
그냥 아무것도 못해서
이건 전문가 불러도 해결이 안될것같은게 
어려운 고급 훈련이면 모르겠지만 앉아는 너무 쉬운거잖아요
3살쯤 데려와서 애기가 아니라 훈련을 잘 못받아들이는걸까요?
펫티켓이랑도 관련있는 문제라 앉아랑 기다려는 꼭 교육하고싶은데 아무리해도 못알아듣고
그냥 간식을 보여주면 앉긴 하는데 이제 앉았으니 줘 란 느낌 
앉아 라는 단어를 몰라 앉아=간식주세요 ㅋㅋㅋ
■ 90만 토캠러들의 인기글 모음 ■  
토익멘토의 RC 독학 방법🔥 
👉 https://gouk.kr/c3aG7V
토익만점비결★집에서듣는 1등학원 토익강의 
👉 https://gouk.kr/tUxXQu
토익 노베 → 880 달성기 
👉 https://gouk.kr/g7pAmU
800 후반 달성! 직장인 공부 루틴 
👉 https://gouk.kr/9lVqAv
왕초보 모여라★해커스토익특강 
👉 https://bit.ly/3y5eg1L
0원으로 토익+토스+오픽+취업 완성★  
☞ https://gouk.kr/f3ZepF","행복하고싶음
강아지마다 지능이 달라서 너무 댕청한 강아지는...ㅎㅎ.
훈련을 포기하면 편하다
2022.08.17. 14:55"
산책중 만난 개와 인사하는 방법,"산책 나가면 현실에서 만나는 반려인들과 영상속에 내용은 많이 다를거에요 
너무 매너없다, 펫티켓도 없다, 상대방은 배려안하고 자기 개가 하고 싶은데로 놔두네,,,
그런 분들은 이런 영상에 관심도 없고 나만 생각하는 사람이라 생각하는 것도 많이 다를 거에요 말이 안통하니까, 그런 사람들은 꼭 피하는게 좋아요 만날수록 내 개에게는 안좋은 영향만 줘요
산책 다니다 보면 개인적으로 이런 생각해요,,,
저 사람은 산책을 하는 거야? 사냥을 나온 거야?
개가 통제가 안돼는데, 저렇게 흥분한 개를 접촉시켜?
내 개가 장난감, 사회화 훈련 도구인가? 왜 내 허락없이 접촉시키지?
왜 자기 개가 인사하고 싶은것만 생각하지? 나와 내 개는 싫은데?
길 중앙 딱 막고, 접촉 안하면 절때 못지나가게 하는데,,, 양아치인가, 건달인가? 삥뜯는 것 같기도 하고,,,
저렇게 모든 개들과 인사시키고 싶으면 애견운동장을 가지? 왜 다른 사람에 산책을 방해하지?
이런 생각들,,,
그래도 다행인건 1~2년전과 다르게 점점 매너를 지키려는 보호자가 생기고 좋은 쪽으로 바뀌고는 있어요
안타까운 경우도 많아요
초보 견주라, 피해야 하는 개인데 모르고 가만히 있다가 사냥 당하듯이 덮쳐서 어린 강아지가 개에 대한 사회화가 엉망이 되어버리는,,,
그런 계속된 경험으로 성견이 되어서는  개만보면 못오게 먼저 짖고 공격하려 하고 이제는 문제견이 되어 버리고 보호자는 교육 통제 생각처럼 쉽지 않조,,,
또 문제견이 되어 버린 개들이 어린 강아지에게 짖고 달려들면, 다시 그 강아지는 악영향을 받고 ,,, 악순환에 반복 이네요
간혹 개에 매너없는 행동에 보호자가 목줄을 당기며 안돼! 안돼! 하면서 개른 혼내는데,,,안타까워서 어떻게 하세요 이야기 하고 싶지만, 저도 전문가가 아니니까, 잘못 교육 했다가 더 안좋아지고 상대 보호자는 할수 없는 방법일수 있어서,,,
그냥 코코를 더 얌전히 시키고 거리 유지하고 천천이 아무일 없다는 듯이 저한테 집중시키고 지나가는게 제일 좋은것 같더라구요 
코코는 짖고 달려드는 개를 신경안쓰는 교육중이라,, 코코에게는 짖는 개가 도움이 되는데, 상대 보호자가 짖는 개를 통제 못하면 상대방은 짖는 교육 하는거라 그냥 피해주는게 좋은것 같아요
아무튼 현실과,, 영상은 달라요
저는 오늘 내일은 주말이라 너무 위험한 상황이 많아서 코코랑 둘이 아무도 없는 곳으로 산책가요 ^^","구름0513 포항
구름이도 개는 다 무서워? 어색해해서 ㅎㅎㅎ
관심가지다가 다가오면 도망가더라구요ㅡ
그래서 아직 애기라 친구들 무서워해요 라고 이야기해요
아직은 그럼 신경써서 피해주시더라구요^^
2022.11.26. 11:57"
울산 개물림 사고 보면서,"동래읍성 갈 때마다 대놓고 광장에 목줄 풀어놓고 노는 개들 너무 싫어요 지난번에는 애들이 놀고있어서 목줄 좀 해달라고 좋게 말했더니 우리개는 안 물고 애들 있는 쪽으로 안 간다네요 헐 
그날 다른집 애들이랑 그집엄마랑 간 거였는데 그 엄마가 다시 가서 목줄하라하니 오히려 언성을 막 높이며 사람이 서로 배려를 하고 살아야지 웃기는 꼴 다 본다며... 오히려 저희한테 소리지르더라고요 아니 지금 배려라는 단어가 말이 되는 건지 무식한 개주인 진짜... 너무 열받아 있는데 큰애가 무섭다고 엄마 싸우지말라고 그냥 가자 해서 오긴 왔어요 
남편한테 말하니 다음엔 그냥 사진찍어서 신고하래요 경찰 부른다 하라고...
울산 사고 보면서도 저는 무서워서 동영상은 못 봤지만 다들 그냥 지나가는 그 아주머니를 욕하시던데 물론 아이가 심하게 다치는데 방관한 거 어른으로서 잘못한 일이지만 그보다는 견주가 의도적이든 아니든 제대로 관리 안 한 책임이 제일 크다고봐요 제발 펫티켓 상식은 좀 지켰으면 좋겠어요","부곡동79다둥맘
1차적인 잘못은 물론 견주에게 있죠 그런데 영상을 보면서 아이가 그렇게 무섭고 처참하고 아팠을 상황에 어른이 애써 외면하며 피해가는듯한 모습에 분통이 터지는건 어쩔수없더라구요 물론 그 분도 무서워서 그러셨겠지만 ㅠㅠ
저도 앞으로 목줄 안하고 다니는 견주는 무조건 신고하려고요
2022.07.18. 16:18"
반려견 목줄 미착용 및 입마개견종의 입마개 미착용으로 인한 사고 책임은 견주입니다.,"< 반려견 목줄 미착용 및 입마개견종의 입마개 미착용으로 인한 사고 책임은 견주입니다. >
주말간 학동에서 끔찍한 사고가 발생했다고 지인에게 전해들었습니다. 목줄을 하지않은 대형견이 소형견을 문 아찔한 사건입니다. 
대형견은 당시 목줄을 하지 않은 상태였고, 피해를 입은 반려견은 견주와 목줄산책 중이었다고 합니다.
목줄을 착용하지 않은 대형견의 공격이 워낙 순간적인 상황이라 방어할 틈도 방어할 수도 없었다고 당시의 아찔함을 들었습니다.
이런 사건들이 너무 자주 발생하는데 정말 인식 개선이 필요합니다. 
소형견, 대형견을 떠나서 동물을 보면 기본적으로 두려움을 느끼는 사람들이 있습니다. 저 또한 어느정도 덩치 있는 동물을 보면 순간적으로 멈칫합니다. 아니 덩치가 작더라도 사납게 짖으면 위협을 느낍니다.
하물며 도망을 치거나 주변의 방어 도구들을 사용할 수 있는 사람도 대형견의 위협앞에 어찌할 바를 모르는데 소형견은 어떻겠습니까
특히 이를 지켜보며 본인 또한 해를 입을 수 있음에도 내 아이를 지켜야 하는 그 심정과 위험한 상황은요
그리고 펫티켓을 잘지키며 대형견을 가족처럼 키우는 견주들은 이런 사건들 때문에 눈치보며 산책하고, 또한 대형견을 키우는것이 죄가 아닌데 곤혹을 겪는 경우가 허다하다고 합니다.
아무리 자동차가 지나가지 않아도 빨간불일때 잠시 멈추는 것이 우리 삶의 최소한의 규칙이듯이,
아무리 내 아이 내 동물이 말 잘듣고 절대 그럴일이 없다하여도 더불어 함께 사는 환경 속에 어떤 찰나의 순간들이 생길 줄 모르니 꼭 목줄착용 및 펫티켓을 부탁드립니다.
또한 거제시와 관계기관에 동일 사고가 반복해서 발생하지 않도록 동물과 함께 살아가는 사람들에게 최소한의 규칙을 지킬 수 있는 경각을 깨워 주시길 당부드립니다.
캠페인, 광고, 인식개선교육 등 다양한 방법을 통해서 더이상 안타까운 사건 사고가 발생하지 않도록 우리 모두가 신경을 썼으면 좋겠습니다.
#김선민시의원예비후보 
#국민의힘 #거제시의원
#반려견 #반려동물 #펫티켓
상처 수술 후
목줄 산책
https://m.blog.naver.com/ineedsee/222678685498
김선민 시의원 예비후보 ""반려동물과 펫티켓 인식 개선이 절실합니다!""
< 반려견 목줄 미착용 및 입마개견종의 입마개 미착용으로 인한 사고 책임은 견주입니다. > 주말간 ...
m.blog.naver.com","코발트블루
맞는 말씀이십니다_ 몇몇 안지키는 사람들때문에 다수가 피해를 많이 보네요..다친아이도 트라우마 생겼을것 같아요 ㅠㅠ
2022.03.23. 13:02"
